i_on_A_m,i_off_nA_um,v_dd_V,c_gs,t_crit_s,clk_freq_GHz,p_leak_total_W,energy_cycle_par_total_pJ,energy_cycle_wire_total_pJ,energy_cycle_load_total_pJ,energy_dyn_cycle_total_pJ,energy_leak_total_pJ,energy_cycle_total_pJ,edp_Js,edp_pJns
669.0000000000001,0.131,3.0,0.7901843918793071,5.4699835541778776e-09,0.1828159061348946,3.231211087626667e-06,4.105235779199999,10.453349101285715,4.05185847696,18.610443357445714,0.01767467150939508,18.628118028955107,1.0189549926366886e-19,101.89549926366885
826.0000000000001,0.22699999999999998,3.0,0.9090909090909091,4.7739267620496484e-09,0.2094711649012935,5.599121502986668e-06,4.722989424872729,10.453349101285715,4.661579935243639,19.837918461402083,0.026729795987075707,19.86464825738916,9.483237593465301e-20,94.83237593465302
833.0,0.26689999999999997,3.0,0.9164282045637978,4.754639012482813e-09,0.21032090919512572,6.5832842693706656e-06,4.761108790690911,10.453349101285715,4.699203663534547,19.913661555511172,0.03130114021741418,19.944962695728588,9.483109773562551e-20,94.83109773562552
675.0,0.162,3.0,0.8002731731545291,5.456226047916407e-09,0.1832768641214699,3.995848825920001e-06,4.1576499072000015,10.453349101285715,4.103591103360001,18.714590111845716,0.0218022544475209,18.736392366293238,1.0222999207295128e-19,102.22999207295128
833.0,0.26689999999999997,3.0,0.9164282045637978,4.754639012482813e-09,0.21032090919512572,6.5832842693706656e-06,4.761108790690911,10.453349101285715,4.699203663534547,19.913661555511172,0.03130114021741418,19.944962695728588,9.483109773562551e-20,94.83109773562552
824.0,0.198,3.0,0.9164282045637978,4.805774067124282e-09,0.20808302388597055,4.883815231680001e-06,4.761108790690911,10.453349101285715,4.699203663534547,19.913661555511172,0.023470512589034317,19.937132068100205,9.581335226570789e-20,95.81335226570789
807.0,0.11,3.0,0.9164282045637978,4.905474398774813e-09,0.20385388215454944,2.7132306842666676e-06,4.761108790690911,10.453349101285715,4.699203663534547,19.913661555511172,0.013309683659640404,19.926971239170815,9.775124725887444e-20,97.75124725887444
667.0,0.11,3.0,0.9164282045637978,5.919799318009797e-09,0.16892464529290738,2.7132306842666676e-06,4.761108790690911,10.453349101285715,4.699203663534547,19.913661555511172,0.016061781154325074,19.9297233366655,1.1797996261651637e-19,117.97996261651637
896.0,8.16,3.0,0.9164282045637978,4.425457098228366e-09,0.22596535856156597,0.00020127238530560004,4.761108790690911,10.453349101285715,4.699203663534547,19.913661555511172,0.8907223062280224,20.804383861739197,9.206890823520139e-20,92.06890823520139
700.0,0.01,3.0,0.9164282045637978,5.644161696334829e-09,0.1771742295493366,2.466573349333334e-07,4.761108790690911,10.453349101285715,4.699203663534547,19.913661555511172,0.0013921738819507512,19.915053729393126,1.1240378343989076e-19,112.40378343989076
885.0,0.0436,3.5,0.9164282045637978,5.213992088394101e-09,0.19179162205211514,1.2546636436942225e-06,6.480398076218185,14.228169610083333,6.39613831981091,27.104706006112426,0.006541806311817391,27.111247812424242,1.413578316004719e-19,141.35783160047188
885.0,0.0314,3.2,0.9164282045637978,4.773330538796285e-09,0.20949732935364146,8.261376338033779e-07,5.417083779630546,11.893588310796192,5.346649501621529,22.65732159204827,0.003943427996682565,22.66126502004495,1.0816970836793657e-19,108.16970836793656
885.0,0.0314,3.3,0.9164282045637978,4.9202177219955575e-09,0.20324303852033945,8.519544348597332e-07,5.760941636736001,12.648552412555713,5.6860364328768025,24.095530482168517,0.004191801308729569,24.099722283477245,1.18575880674336e-19,118.57588067433599
